playerID,idx,lgID,yearID,teamID,data_split,Batting_AtBats,Batting_Runs,Batting_BaseOnBalls,Batting_Hits,Batting_HomeRuns,Batting_Games,Batting_BattingAverage,Batting_PlateAppearances,Batting_OnBasePct,Batting_SlugPct,Batting_Doubles,Batting_Triples,Batting_RunsBattedIn,Batting_StolenBases,Batting_CaughtStealing,Batting_Strikeouts,Batting_IntentionalWalks,Batting_HitByPitch,Batting_SacrificeHits,Batting_Sacrifice_Flies,Batting_GroundedIntoDoublePlays
alvarlu01,46,AL,1973,CHA,test,203,21,4,47,0,80,0.232,211,0.25,0.286,7,2,20,6,2,20,0,1,3,0,3
alvarpe01,47,NL,2010,PIT,train,347,42,37,89,16,95,0.256,386,0.326,0.461,21,1,64,0,0,119,1,0,0,2,8
alvarpe01,47,NL,2011,PIT,train,235,18,24,45,4,74,0.191,262,0.272,0.289,9,1,19,1,0,80,1,2,1,0,11
alvarpe01,47,NL,2012,PIT,train,525,64,57,128,30,149,0.244,586,0.317,0.467,25,1,85,1,0,180,6,1,0,3,10
alvarpe01,47,NL,2013,PIT,train,558,70,48,130,36,152,0.233,614,0.296,0.473,22,2,100,2,0,186,7,4,0,4,16
alvarpe01,47,NL,2014,PIT,train,398,46,45,92,18,122,0.231,445,0.312,0.405,13,1,56,8,3,113,6,2,0,0,12
alvarpe01,47,NL,2015,PIT,train,437,60,48,106,27,150,0.243,491,0.318,0.469,18,0,77,2,0,131,9,2,0,4,6
alvarpe01,47,AL,2016,BAL,train,337,43,37,84,22,109,0.249,376,0.322,0.504,20,0,49,1,0,97,1,0,0,2,6
alvisma01,48,AL,1963,CLE,train,602,81,36,165,22,158,0.274,660,0.324,0.46,32,7,67,9,7,109,2,10,8,4,6
alvisma01,48,AL,1964,CLE,train,381,51,29,96,18,107,0.252,419,0.313,0.446,14,3,53,5,5,77,5,6,1,2,5
alvisma01,48,AL,1965,CLE,train,604,88,47,149,21,159,0.247,670,0.308,0.397,24,2,61,12,8,121,4,9,5,5,9
alvisma01,48,AL,1966,CLE,train,596,67,50,146,17,157,0.245,655,0.304,0.378,22,3,55,4,7,98,6,2,3,4,12
alvisma01,48,AL,1967,CLE,train,637,66,38,163,21,161,0.256,697,0.301,0.403,23,4,70,3,10,107,1,4,16,2,13
alvisma01,48,AL,1968,CLE,train,452,38,41,101,8,131,0.223,503,0.292,0.327,17,3,37,5,5,91,5,4,3,3,11
alvisma01,48,AL,1969,CLE,train,191,13,14,43,1,66,0.225,207,0.275,0.272,6,0,15,1,1,26,1,0,0,2,9
alvisma01,48,AL,1970,ML4,train,115,16,5,21,3,62,0.183,120,0.217,0.278,2,0,12,1,2,20,1,0,0,0,5
alyeabr01,49,AL,1968,WS2,train,150,18,10,40,6,53,0.267,161,0.317,0.473,11,1,23,0,0,39,0,1,0,0,6
alyeabr01,49,AL,1969,WS2,train,237,29,34,59,11,104,0.249,276,0.341,0.405,4,0,40,1,3,67,4,1,0,4,9
alyeabr01,49,AL,1970,MIN,train,258,34,28,75,16,94,0.291,290,0.366,0.531,12,1,61,3,3,51,0,3,0,1,12
alyeabr01,49,AL,1971,MIN,train,158,13,24,28,2,79,0.177,188,0.282,0.241,4,0,15,1,1,38,3,1,0,5,7
amalfjo01,50,NL,1960,SFN,train,328,47,26,91,1,106,0.277,361,0.335,0.351,15,3,27,2,3,31,1,3,3,1,5
amalfjo01,50,NL,1961,SFN,train,384,64,44,98,2,109,0.255,433,0.331,0.32,11,4,23,7,4,59,2,0,4,1,2
amalfjo01,50,NL,1962,HOU,train,380,44,45,90,1,117,0.237,434,0.317,0.303,12,5,27,4,4,43,5,1,5,3,13
amalfjo01,50,NL,1963,SFN,train,137,11,12,24,1,54,0.175,153,0.245,0.219,3,0,7,2,6,18,0,1,2,1,5
amalfjo01,50,NL,1964,CHN,train,324,51,40,78,4,100,0.241,372,0.333,0.373,19,6,27,2,7,42,1,5,3,0,10
amalfjo01,50,NL,1965,CHN,train,96,13,12,26,0,67,0.271,110,0.364,0.312,4,0,8,2,2,14,0,2,0,0,1
amarari01,51,AL,1992,SEA,train,100,9,5,24,1,35,0.24,109,0.276,0.3,3,0,7,4,2,16,0,0,4,0,4
amarari01,51,AL,1993,SEA,train,373,53,33,108,1,110,0.29,421,0.348,0.367,24,1,44,19,11,54,0,3,7,5,5
amarari01,51,AL,1994,SEA,train,228,37,24,60,4,77,0.263,262,0.333,0.377,10,2,18,5,1,28,1,1,7,2,3
amarari01,51,AL,1995,SEA,train,238,45,21,67,2,90,0.282,261,0.342,0.382,14,2,19,21,2,33,0,1,1,0,3
amarari01,51,AL,1996,SEA,train,312,69,47,91,1,118,0.292,369,0.392,0.356,11,3,29,25,6,55,0,5,4,1,6
amarari01,51,AL,1997,SEA,train,190,34,10,54,1,89,0.284,210,0.327,0.326,5,0,21,12,8,34,0,3,5,2,7
amarari01,51,AL,1998,SEA,train,134,25,13,37,1,73,0.276,149,0.342,0.343,6,0,4,11,1,24,0,1,0,1,1
amarari01,51,AL,1999,BAL,train,137,21,15,38,0,91,0.277,156,0.348,0.35,8,1,11,9,6,20,0,1,1,2,1
amarial01,52,NL,2013,SDN,train,368,35,22,87,5,146,0.236,396,0.282,0.337,14,4,32,4,2,57,1,2,3,1,7
amarial01,52,NL,2014,SDN,train,423,39,29,101,5,148,0.239,466,0.286,0.314,13,2,40,12,1,69,5,1,8,5,6
amarial01,52,NL,2015,SDN,train,324,28,24,66,3,118,0.204,357,0.257,0.287,10,4,30,5,1,55,4,1,3,5,6
amarial01,52,NL,2016,SDN,train,140,9,8,36,0,65,0.257,150,0.295,0.271,2,0,11,9,2,26,2,0,1,1,5
amarial01,52,NL,2017,COL,train,168,22,7,40,3,96,0.238,176,0.269,0.351,10,0,19,1,0,38,0,0,1,0,5
amaroru01,53,NL,1960,PHI,train,264,25,21,61,0,92,0.231,292,0.292,0.273,9,1,16,0,1,32,2,2,4,1,5
amaroru01,53,NL,1961,PHI,train,381,34,53,98,1,135,0.257,447,0.351,0.349,14,9,32,1,0,59,2,2,11,0,9
amaroru01,53,NL,1962,PHI,train,226,24,30,55,0,79,0.243,265,0.33,0.288,10,0,19,5,2,28,4,1,4,4,6
amaroru01,53,NL,1963,PHI,train,217,25,19,47,2,115,0.217,245,0.276,0.304,9,2,19,0,1,31,6,0,6,3,4
amaroru01,53,NL,1964,PHI,train,299,31,16,79,4,129,0.264,323,0.307,0.341,11,0,34,1,6,37,2,3,4,1,5
amaroru01,53,NL,1965,PHI,train,184,26,27,39,0,118,0.212,218,0.312,0.25,7,0,15,1,1,22,3,1,3,3,6
amorosa01,54,NL,1954,BRO,train,263,44,31,72,9,79,0.274,298,0.353,0.49,18,6,34,1,4,24,0,1,3,0,4
amorosa01,54,NL,1955,BRO,train,388,59,55,96,10,119,0.247,455,0.347,0.402,16,7,51,10,5,45,5,6,2,4,8
amorosa01,54,NL,1956,BRO,train,292,53,59,76,16,114,0.26,361,0.385,0.517,11,8,58,3,4,51,6,1,8,1,4
amorosa01,54,NL,1957,BRO,train,238,40,46,66,7,106,0.277,292,0.399,0.403,7,1,26,3,2,42,3,3,4,1,6
anderbr01,55,AL,1988,BOS,train,148,14,15,34,0,41,0.23,172,0.315,0.304,5,3,12,4,2,35,0,4,4,1,2
anderbr01,55,AL,1989,BAL,train,266,44,43,55,4,94,0.207,317,0.324,0.312,12,2,16,16,4,45,6,3,5,0,4
anderbr01,55,AL,1990,BAL,train,234,24,31,54,3,89,0.231,279,0.327,0.308,5,2,24,15,2,46,2,5,4,5,4
anderbr01,55,AL,1991,BAL,train,256,40,38,59,2,113,0.23,313,0.338,0.324,12,3,27,12,5,44,0,5,11,3,1
anderbr01,55,AL,1992,BAL,train,623,100,98,169,21,159,0.271,749,0.373,0.449,28,10,80,53,16,98,14,9,10,9,2
anderbr01,55,AL,1993,BAL,train,560,87,82,147,13,142,0.262,664,0.363,0.425,36,8,66,24,12,99,4,10,6,6,4
anderbr01,55,AL,1994,BAL,train,453,78,57,119,12,111,0.263,525,0.356,0.419,25,5,48,31,1,75,3,10,3,2,7
anderbr01,55,AL,1995,BAL,train,554,108,87,145,16,143,0.262,657,0.371,0.444,33,10,64,26,7,111,4,10,4,2,3
anderbr01,55,AL,1996,BAL,train,579,117,76,172,50,149,0.297,687,0.396,0.637,37,5,110,21,8,106,1,22,6,4,11
anderbr01,55,AL,1997,BAL,train,590,97,84,170,18,151,0.288,696,0.393,0.469,39,7,73,18,12,105,6,19,2,1,1
